EventId,EventTemplate,SemanticClass,EventCategory
E1,*** register callback for <*>@<*>,System Services & Daemons,Other
E2,*** unregister callback for <*>@<*>,System Services & Daemons,Other
E3,*** unregister callback for null,System Services & Daemons,Other
E4,"[HSM] stayAwake false uid: <*>, pid: <*> ",Power Management,Other
E5,[PhoneIntfMgr] getDataEnabled: subId=<*> phoneId=<*>,Network & Connectivity,Other
E6,[PhoneIntfMgr] getDataEnabled: subId=<*> retVal=true,Network & Connectivity,Other
E7,<*>: <*> cannot be cast to <*>$Token,System Services & Daemons,Other
E8,<*>: Must execute in UI,System Services & Daemons,Other
E9,abandonAudioFocus,System Services & Daemons,Other
E10,"acquire lock=<*>, flags=<*>, tag=""<*>"", name=<*>, ws=<*>, uid=<*>, pid=<*>",Power Management,Other
E11,"Acquiring suspend blocker ""PowerManagerService.WakeLocks"".",Power Management,Other
E12,ACTION_BATTERY_CHANGED AMP: <*>; Volt: <*>,Power Management,Other
E13,ACTION_BATTERY_CHANGED pluggedType: <*>,Power Management,Other
E14,"ACTIVITY check resid: <*>, size=<*>",System Services & Daemons,Other
E15,"ActivityManagerService,attachApplication,callingPid = <*>",System Services & Daemons,Other
E16,"ActivityRecord info: ActivityInfo{<*> <*>}, euid: <*>",System Services & Daemons,Other
E17,addNotification key=<*>|<*>|<*>|null|<*>,System Services & Daemons,Other
E18,"animateCollapsePanels:flags=<*>, force=false, delayed=false, mExpandedVisible=false",System Services & Daemons,Other
E19,"animateCollapsePanels:flags=<*>, force=false, delayed=false, mExpandedVisible=true",System Services & Daemons,Other
E20,"animateCollapsePanels:flags=<*>, force=true, delayed=true, mExpandedVisible=true",System Services & Daemons,Other
E21,"Animating brightness: target=<*>, rate=<*>",Power Management,Other
E22,"Application requested orientation <*>, got rotation <*> which has compatible metrics",System Services & Daemons,Other
E23,applyOptionsLocked: Unknown animationType=<*>,System Services & Daemons,Other
E24,ApStaDisabledState what=<*>,Network & Connectivity,Other
E25,Bad activity token: <*>@<*>,System Services & Daemons,Other
E26,battery changed pluggedType: <*>,Power Management,Other
E27,cancelAutohide,System Services & Daemons,Other
E28,"cancelNotification,cancelNotificationLocked,callingUid = <*>,callingPid = <*>",System Services & Daemons,Other
E29,"cancelNotification,index:<*>",System Services & Daemons,Other
E30,"cancelNotificationLocked called,tell the app,reason = <*>",System Services & Daemons,Other
E31,"cancelNotificationLocked,remove =<*>",System Services & Daemons,Other
E32,cancelNotificationLocked:<*>|<*>|<*>|null|<*>,System Services & Daemons,Other
E33,"cancelNotificationWithTag pid <*>,uid = <*>,tag = null,pkg =<*>,id =<*>",System Services & Daemons,Other
E34,cancelPeek: false,System Services & Daemons,Other
E35,ChargingSpeed  Wattage: <*> ST: <*> --> <*>,Power Management,Other
E36,cleanUpApplicationRecord -- <*>,System Services & Daemons,Other
E37,"cleanUpApplicationRecordLocked, pid: <*>, restart: false",System Services & Daemons,Other
E38,"cleanUpApplicationRecordLocked, reset pid: <*>, euid: <*>",System Services & Daemons,Other
